epoch,acc,loss,val_acc,val_loss
0,0.36683417085427134,0.048590870881125556,0.4715909090909091,0.040458932518959045
1,0.5035175879396985,0.03422284623299112,0.4744318181818182,0.03899180702865124
2,0.5849246231754821,0.027904434656565214,0.45170454545454547,0.03945138830352913
3,0.5748743718592965,0.02998918837413716,0.5852272727272727,0.02710100585086779
4,0.6452261307131705,0.023519538709865742,0.6278409090909091,0.024206792766397648
5,0.6974874371859296,0.020379844745012685,0.7017045454545454,0.020056720653718167
6,0.7638190955372911,0.015018380467017093,0.7130681818181818,0.01982245509597388
7,0.8170854270757743,0.011633260453110514,0.7073863636363636,0.019430464556948704
8,0.8407035175879397,0.009562826505277174,0.7159090909090909,0.01975072251463478
9,0.858291457226528,0.008116616655478076,0.7045454545454546,0.019391654059290886
10,0.7894472361809045,0.012523442736110795,0.8125,0.011648115532642061
11,0.8201005025125628,0.00970081190049798,0.8238636363636364,0.011518528346310963
12,0.8512562814070351,0.008133086073563327,0.8210227272727273,0.01155034905638207
13,0.8668341707943672,0.007057339873576734,0.8238636363636364,0.011492243290624836
14,0.8743718592964824,0.006210007147872868,0.8238636363636364,0.011542452075941996
