epoch,acc,loss,val_acc,val_loss
0,0.33412435523525597,10.009200584735698,0.3829787278428991,7.978826127153762
1,0.3787375489682115,8.750083541553282,0.41276596201227067,7.830671442315934
2,0.3730422472453083,8.410625548740672,0.4085106431169713,7.7029824561261115
3,0.39487423587592224,7.962020769694092,0.4085106431169713,7.56203178649253
4,0.3977218876673703,7.5946213433003615,0.4085106431169713,7.181951705445635
5,0.4114855317267186,7.134218395406961,0.4085106431169713,7.080878805606924
6,0.4081632713670124,5.185284172917182,0.4085106431169713,1.9413986003145258
7,0.4186046587724962,2.1599806243908253,0.4085106431169713,1.9148050470555082
8,0.4200284837063987,1.9664948788875078,0.4085106431169713,1.8954566564965756
9,0.42145230907877873,1.9124764738119095,0.4085106431169713,1.882226063850078
